p0;p0->0.2;-182.704;26.892;0.200
p1;p1->0.6;-172.639;26.480;0.600
p2;p2->0.6;-149.441;25.154;0.600
p3;p3->0.6;-120.079;23.565;0.600
p4;p4->0.6;-97.168;23.407;0.600
p5;p5->0.6;-77.922;23.511;0.600
p6;p6->0.6;-55.210;19.900;0.600
p7;p7->0.6;-40.202;19.608;0.600
p8;p8->0.6;-27.420;18.969;0.600
p9;p9->0.6;-22.363;18.448;0.600
p10;p10->0.2;-17.624;16.969;0.200
p11;p11->0.2;-15.944;13.074;0.200
p12;p12->0.2;-16.237;9.268;0.200
p13;p13->0.2;-18.434;4.663;0.200
p14;p14->0.2;-23.659;5.062;0.200
p15;p15->0.6;-35.208;5.492;0.600
p16;p16->0.6;-52.003;1.464;0.600
p17;p17->0.6;-63.247;-1.465;0.600
p18;p18->0.6;-80.879;-1.644;0.600
p19;p19->0.6;-97.388;-1.377;0.600
p20;p20->0.6;-112.447;-1.142;0.600
p21;p21->0.6;-117.234;4.969;0.600
p22;p22->0.6;-132.094;10.850;0.600
p23;p23->0.6;-143.842;13.893;0.600
p24;p24->0.6;-156.412;13.917;0.600
p25;p25->0.6;-175.678;13.092;0.600
p26;p26->0.6;-186.225;13.205;0.600
